name,land_square_miles
Alabama,"50,645"
Alaska,"570,641"
Arizona,"113,594"
Arkansas,"52,035"
California,"155,779"
Colorado,"103,642"
Connecticut,"4,842"
Delaware,"1,949"
Florida,"53,625"
Georgia,"57,513"
Hawaii,"6,423"
Idaho,"82,643"
Illinois,"55,519"
Indiana,"35,826"
Iowa,"55,857"
Kansas,"81,759"
Kentucky,"39,486"
Louisiana,"43,204"
Maine,"30,843"
Maryland,"9,707"
Massachusetts,"7,800"
Michigan,"56,539"
Minnesota,"79,627"
Mississippi,"46,923"
Missouri,"68,742"
Montana,"145,546"
Nebraska,"76,824"
Nevada,"109,781"
New Hampshire,"8,953"
New Jersey,"7,354"
New Mexico,"121,298"
New York,"47,126"
North Carolina,"48,618"
North Dakota,"69,001"
Ohio,"40,861"
Oklahoma,"68,595"
Oregon,"95,988"
Pennsylvania,"44,743"
Rhode Island,"1,034"
South Carolina,"30,061"
South Dakota,"75,811"
Tennessee,"41,235"
Texas,"261,232"
Utah,"82,170"
Vermont,"9,217"
Virginia,"39,490"
Washington,"66,456"
West Virginia,"24,038"
Wisconsin,"54,158"
Wyoming,"97,093"
