name,category,is_commonwealth,is_state,is_territory,is_federal_district,iso_3166,ansi_alphabetic_code,ansi_numeric_code,usps_code,uscg_code,gpo_abbrev,ap_abbrev,is_incorporated,is_organized,capital,largest_city,acquired_date,established_date,population,total_square_miles,total_square_kilometers,land_square_miles,land_square_kilometers,water_square_miles,water_square_kilometers,representatives
Alabama,State,0,1,0,0,US-AL,AL,1,AL,AL,Ala.,Ala.,1,1,Montgomery,Birmingham,,"Dec 14, 1819","4,874,747","52,420","135,767","50,645","131,171","1,775","4,597",7
Alaska,State,0,1,0,0,US-AK,AK,2,AK,AK,Alaska,Alaska,1,1,Juneau,Anchorage,,"Jan 3, 1959","739,795","665,384","1,723,337","570,641","1,477,953","94,743","245,384",1
Arizona,State,0,1,0,0,US-AZ,AZ,4,AZ,AZ,Ariz.,Ariz.,1,1,Phoenix,Phoenix,,"Feb 14, 1912","7,016,270","113,990","295,234","113,594","294,207",396,"1,026",9
Arkansas,State,0,1,0,0,US-AR,AR,5,AR,AR,Ark.,Ark.,1,1,Little Rock,Little Rock,,"Jun 15, 1836","3,004,279","53,179","137,732","52,035","134,771","1,143","2,961",4
California,State,0,1,0,0,US-CA,CA,6,CA,CF,Calif.,Calif.,1,1,Sacramento,Los Angeles,,"Sep 9, 1850","39,536,653","163,695","423,967","155,779","403,466","7,916","20,501",53
Colorado,State,0,1,0,0,US-CO,CO,8,CO,CL,Colo.,Colo.,1,1,Denver,Denver,,"Aug 1, 1876","5,607,154","104,094","269,601","103,642","268,431",452,"1,170",7
Connecticut,State,0,1,0,0,US-CT,CT,9,CT,CT,Conn.,Conn.,1,1,Hartford,Bridgeport,,"Jan 9, 1788","3,588,184","5,543","14,357","4,842","12,542",701,"1,816",5
Delaware,State,0,1,0,0,US-DE,DE,10,DE,DL,Del.,Del.,1,1,Dover,Wilmington,,"Dec 7, 1787","961,939","2,489","6,446","1,949","5,047",540,"1,399",1
District of Columbia,Federal district,0,0,0,1,US-DC,DC,11,DC,DC,D.C.,D.C.,1,1,Washington DC,Washington DC,,"Jul 16, 1790","693,972",68,176,61,158,7,18,1
Florida,State,0,1,0,0,US-FL,FL,12,FL,FL,Fla.,Fla.,1,1,Tallahassee,Jacksonville,,"Mar 3, 1845","20,984,400","65,758","170,312","53,625","138,887","12,133","31,424",27
Georgia,State,0,1,0,0,US-GA,GA,13,GA,GA,Ga.,Ga.,1,1,Atlanta,Atlanta,,"Jan 2, 1788","10,429,379","59,425","153,910","57,513","148,959","1,912","4,951",14
Hawaii,State,0,1,0,0,US-HI,HI,15,HI,HA,Hawaii,Hawaii,1,1,Honolulu,Honolulu,,"Aug 21, 1959","1,427,538","10,932","28,313","6,423","16,635","4,509","11,678",2
Idaho,State,0,1,0,0,US-ID,ID,16,ID,ID,Idaho,Idaho,1,1,Boise,Boise,,"Jul 3, 1890","1,716,943","83,569","216,443","82,643","214,045",926,"2,398",2
Illinois,State,0,1,0,0,US-IL,IL,17,IL,IL,Ill.,Ill.,1,1,Springfield,Chicago,,"Dec 3, 1818","12,802,023","57,914","149,995","55,519","143,793","2,395","6,202",18
Indiana,State,0,1,0,0,US-IN,IN,18,IN,IN,Ind.,Ind.,1,1,Indianapolis,Indianapolis,,"Dec 11, 1816","6,666,818","36,420","94,326","35,826","92,789",593,"1,537",9
Iowa,State,0,1,0,0,US-IA,IA,19,IA,IA,Iowa,Iowa,1,1,Des Moines,Des Moines,,"Dec 28, 1846","3,145,711","56,273","145,746","55,857","144,669",416,"1,077",4
Kansas,State,0,1,0,0,US-KS,KS,20,KS,KA,Kans.,Kan.,1,1,Topeka,Wichita,,"Jan 29, 1861","2,913,123","82,278","213,100","81,759","211,754",520,"1,346",4
Kentucky,State (Commonwealth),1,1,0,0,US-KY,KY,21,KY,KY,Ky.,Ky.,1,1,Frankfort,Louisville,,"Jun 1, 1792","4,454,189","40,408","104,656","39,486","102,269",921,"2,387",6
Louisiana,State,0,1,0,0,US-LA,LA,22,LA,LA,La.,La.,1,1,Baton Rouge,New Orleans,,"Apr 30, 1812","4,684,333","52,378","135,659","43,204","111,898","9,174","23,761",6
Maine,State,0,1,0,0,US-ME,ME,23,ME,ME,Maine,Maine,1,1,Augusta,Portland,,"Mar 15, 1820","1,335,907","35,380","91,633","30,843","79,883","4,537","11,750",2
Maryland,State,0,1,0,0,US-MD,MD,24,MD,MD,Md.,Md.,1,1,Annapolis,Baltimore,,"Apr 28, 1788","6,052,177","12,406","32,131","9,707","25,142","2,699","6,990",8
Massachusetts,State (Commonwealth),1,1,0,0,US-MA,MA,25,MA,MS,Mass.,Mass.,1,1,Boston,Boston,,"Feb 6, 1788","6,859,819","10,554","27,336","7,800","20,202","2,754","7,134",9
Michigan,State,0,1,0,0,US-MI,MI,26,MI,MC,Mich.,Mich.,1,1,Lansing,Detroit,,"Jan 26, 1837","9,962,311","96,714","250,487","56,539","146,435","40,175","104,052",14
Minnesota,State,0,1,0,0,US-MN,MN,27,MN,MN,Minn.,Minn.,1,1,St. Paul,Minneapolis,,"May 11, 1858","5,576,606","86,936","225,163","79,627","206,232","7,309","18,930",8
Mississippi,State,0,1,0,0,US-MS,MS,28,MS,MI,Miss.,Miss.,1,1,Jackson,Jackson,,"Dec 10, 1817","2,984,100","48,432","125,438","46,923","121,531","1,508","3,907",4
Missouri,State,0,1,0,0,US-MO,MO,29,MO,MO,Mo.,Mo.,1,1,Jefferson City,Kansas City,,"Aug 10, 1821","6,113,532","69,707","180,540","68,742","178,040",965,"2,501",8
Montana,State,0,1,0,0,US-MT,MT,30,MT,MT,Mont.,Mont.,1,1,Helena,Billings,,"Nov 8, 1889","1,050,493","147,040","380,831","145,546","376,962","1,494","3,869",1
Nebraska,State,0,1,0,0,US-NE,NE,31,NE,NB,Nebr.,Neb.,1,1,Lincoln,Omaha,,"Mar 1, 1867","1,920,076","77,348","200,330","76,824","198,974",524,"1,356",3
Nevada,State,0,1,0,0,US-NV,NV,32,NV,NV,Nev.,Nev.,1,1,Carson City,Las Vegas,,"Oct 31, 1864","2,998,039","110,572","286,380","109,781","284,332",791,"2,048",4
